id,provider,vehicleType,datetime_start,datetime_end,longitude_start,latitude_start,longitude_end,latitude_end
YmlrZTo6Y2FsbGFiaWtlOjoxNzgyNDM=,callabike,bicycle,2019-10-13 09:43:08+02:00,2019-10-13 10:18:07+02:00,13.373544,52.509953,13.390235,52.489727
16268nextbike,nextbike,bycicle,2019-10-14 11:52:00+02:00,2019-10-14 12:35:00+02:00,13.40604815,52.5249619,13.39915468,52.50424063
16305nextbike,nextbike,bycicle,2020-01-13 11:28:00+01:00,2020-01-13 12:02:00+01:00,13.39418552,52.50756107,13.32573202,52.46279000000001
15361nextbike,nextbike,bycicle,2019-10-06 21:51:00+02:00,2019-10-06 22:14:00+02:00,13.418203699999998,52.49039739999999,13.376718,52.487904
14529nextbike,nextbike,bycicle,2019-10-12 17:55:00+02:00,2019-10-12 18:45:00+02:00,13.41683864593506,52.54914677725901,13.44449758529663,52.48512581507352
14535nextbike,nextbike,bycicle,2019-10-14 17:15:00+02:00,2019-10-14 19:48:00+02:00,13.419697,52.49622700000001,13.451364600000002,52.5260455
15801nextbike,nextbike,bycicle,2019-10-07 13:07:00+02:00,2019-10-07 13:22:00+02:00,13.433468341827393,52.50982208432867,13.43710728,52.52330688
16119nextbike,nextbike,bycicle,2020-01-04 18:48:00+01:00,2020-01-04 18:55:00+01:00,13.3972655,52.48912435,13.38956465,52.49492727
YmlrZTo6Y2FsbGFiaWtlOjoxNzY0Mzg=,callabike,bicycle,2019-10-08 14:23:20+02:00,2019-10-08 14:33:08+02:00,13.427753,52.531994,13.423044,52.53294399999999
YmlrZTo6Y2FsbGFiaWtlOjoxNzQ1NjM=,callabike,bicycle,2019-12-10 13:33:07+01:00,2019-12-10 16:03:13+01:00,13.394002,52.507736,13.330885999999998,52.497772
14943nextbike,nextbike,bycicle,2019-11-07 14:20:00+01:00,2019-11-07 14:38:00+01:00,13.355705,52.507229,13.359184,52.539696
14882nextbike,nextbike,bycicle,2019-11-05 16:53:00+01:00,2019-11-05 19:04:00+01:00,13.375631900000002,52.51048528,13.35534325,52.48679583
